States,Total
Alabama,952.4
Alaska,775.9
Arizona,724.1
Arkansas ,888.9
California,700.2
Colorado,716.8
Connecticut,714.8
Delaware,784
District of Columbia,892.9
Florida,711.3
Georgia ,858.8
Hawaii,629.6
Idaho,747.4
Illinois,781.1
Indiana,847.6
Iowa,730.3
Kansas,794.7
Kentucky,915.2
Louisiana,930.1
Maine ,775
Maryland,793
Massachusetts ,719.7
Michigan,813.7
Minnesota,672.8
Mississippi,961.2
Missouri,848.3
Montana ,781.4
Nebraska,735.3
Nevada,843.7
New Hampshire,724.9
New Jersey,736.6
New Mexico ,775.5
New York ,701.2
North Carolina,843.6
North Dakota,726.9
Ohio,840.8
Oklahoma,920.4
Oregon,770.5
Pennsylvania ,800.8
Rhode Island,747.4
South Carolina,864.6
South Dakota,740.5
Tennessee,908.3
Texas,783.9
Utah ,706.3
Vermont,721.7
Virginia,781
Washington,722.5
West Virginia,941.3
Wisconsin,746.6
Wyoming,822.8
